to_node from_node capacity prob_failure
15 0 1095772563 0.004
20 0 962312382 0.004
35 0 1075478140 0.004
38 0 979440317 0.004
43 0 925050028 0.004
45 0 1005987595 0.004
4 1 1040753062 0.004
10 1 1032589947 0.004
14 1 1058502671 0.004
17 1 1091964421 0.004
18 1 1002696150 0.004
21 1 980358182 0.004
25 1 954570242 0.004
26 1 1029424341 0.004
27 1 945900235 0.004
32 1 951193847 0.004
38 1 1079570053 0.004
39 1 937783429 0.004
41 1 1009483897 0.004
45 1 947284537 0.004
49 1 908769683 0.004
7 2 1023842094 0.004
23 2 1042874800 0.004
25 2 999801444 0.004
28 2 1066686580 0.004
32 2 930725420 0.004
36 2 1060341751 0.004
39 2 945666960 0.004
43 2 1074519895 0.004
49 2 926775876 0.004
2 3 982942036 0.004
8 3 974473159 0.004
9 3 932952587 0.004
11 3 985692937 0.004
12 3 1084887475 0.004
20 3 987984744 0.004
29 3 933232349 0.004
30 3 1074777347 0.004
31 3 1047128668 0.004
7 4 902781947 0.004
8 4 1050881986 0.004
20 4 1089486797 0.004
27 4 1026084718 0.004
29 4 1045007129 0.004
33 4 975834180 0.004
40 4 1052379682 0.004
41 4 1004686355 0.004
47 4 984370787 0.004
48 4 969603954 0.004
0 5 967558232 0.004
2 5 929898086 0.004
3 5 958880550 0.004
9 5 1080971629 0.004
25 5 966870664 0.004
31 5 951963768 0.004
37 5 1023871853 0.004
44 5 1010618420 0.004
47 5 994155308 0.004
0 6 1049629421 0.004
24 6 991775758 0.004
26 6 909403805 0.004
34 6 945786092 0.004
35 6 1094859587 0.004
38 6 980371956 0.004
45 6 968933063 0.004
46 6 905690079 0.004
0 7 925975464 0.004
16 7 901631331 0.004
17 7 1047321419 0.004
27 7 929837527 0.004
34 7 957457088 0.004
38 7 970899093 0.004
48 7 977347152 0.004
0 8 958041974 0.004
4 8 1085015554 0.004
11 8 916868375 0.004
14 8 1028942292 0.004
17 8 1001049271 0.004
18 8 1089533803 0.004
21 8 1081432586 0.004
22 8 903614891 0.004
24 8 1016524359 0.004
29 8 988412361 0.004
36 8 1069827015 0.004
37 8 1061611663 0.004
40 8 982882963 0.004
45 8 1039043553 0.004
48 8 1027716270 0.004
0 9 1047171354 0.004
1 9 1070031029 0.004
3 9 1028162564 0.004
8 9 945464775 0.004
23 9 1063312302 0.004
31 9 906401558 0.004
36 9 1081848291 0.004
38 9 958651219 0.004
15 10 989703629 0.004
16 10 1026940284 0.004
23 10 1022275908 0.004
27 10 908629827 0.004
28 10 1095523023 0.004
44 10 1064179576 0.004
4 11 921043005 0.004
15 11 1026865551 0.004
20 11 1078483323 0.004
24 11 993258850 0.004
33 11 1077426977 0.004
45 11 1038627061 0.004
3 12 1065121749 0.004
6 12 932094052 0.004
20 12 910178409 0.004
21 12 925728327 0.004
23 12 1003614406 0.004
29 12 961435547 0.004
32 12 1086034018 0.004
34 12 1099374076 0.004
39 12 960191047 0.004
44 12 1001522454 0.004
0 13 1087235162 0.004
5 13 954110913 0.004
10 13 904902690 0.004
16 13 1043907622 0.004
25 13 979080219 0.004
38 13 1034661425 0.004
39 13 980597123 0.004
40 13 965776754 0.004
49 13 997804589 0.004
1 14 1031198587 0.004
8 14 900594514 0.004
18 14 965304534 0.004
28 14 1033208699 0.004
33 14 1094965378 0.004
34 14 1079488244 0.004
37 14 1041511000 0.004
41 14 1087428974 0.004
44 14 1066032232 0.004
45 14 1043626491 0.004
48 14 907187829 0.004
9 15 1067281461 0.004
11 15 1060223622 0.004
14 15 933720965 0.004
22 15 1093824131 0.004
26 15 1044348438 0.004
38 15 948436218 0.004
41 15 1077646965 0.004
45 15 905271192 0.004
47 15 917529639 0.004
1 16 984585274 0.004
5 16 904425911 0.004
8 16 984901800 0.004
14 16 1007193167 0.004
15 16 973188705 0.004
19 16 1054940238 0.004
22 16 1067756501 0.004
26 16 956359607 0.004
31 16 1046441385 0.004
9 17 1014514965 0.004
10 17 1007513555 0.004
13 17 1064955196 0.004
22 17 1027231204 0.004
39 17 937064913 0.004
40 17 907308645 0.004
43 17 1056928664 0.004
48 17 1008599291 0.004
12 18 1007050414 0.004
34 18 945333332 0.004
35 18 919836363 0.004
37 18 1031357129 0.004
